"id","district","zone_name","aliases","latitude","longitude","source","geocoded","created_at","updated_at"
"d3b05542-1092-42ca-86a8-1ca07b9fa7c5","Bagerhat","Bagerhat Bus Terminal","{""Bagerhat Bus Terminal"",""Bagerhat Bus Terminal Bagerhat"",""Bagerhat Bus Terminal, Bagerhat""}",22.646360,89.793045,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:14.35889+00"
"2a27eee1-8981-4ff8-b926-391beb8e2b15","Bagerhat","Bagerhat Railway Station","{""Bagerhat Railway Station"",""Bagerhat Railway Station Bagerhat"",""Bagerhat Railway Station, Bagerhat""}",22.646360,89.793045,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:15.451578+00"
"2530b936-2c27-4452-bd2b-e7a93ff9adb5","Bagerhat","Bagerhat Sadar","{""Bagerhat Sadar"",""Bagerhat Sadar Bagerhat"",""Bagerhat Sadar, Bagerhat""}",22.656570,89.791230,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:16.68438+00"
"9ed799a4-4535-4049-be2a-5e37bf827f46","Bagerhat","Khan Jahan Ali Mazar","{""Khan Jahan Ali Mazar"",""Khan Jahan Ali Mazar Bagerhat"",""Khan Jahan Ali Mazar, Bagerhat""}",22.656570,89.791230,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:17.807321+00"
"3c8cbdfd-75df-40d7-99c8-13137cfcd456","Bagerhat","Sixty Dome Mosque","{""Sixty Dome Mosque"",""Sixty Dome Mosque Bagerhat"",""Sixty Dome Mosque, Bagerhat""}",22.674501,89.741822,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:18.934831+00"
"1dc3f0a2-ed0f-4b99-a2bd-773650a5e37e","Bandarban","Balaghata","{Balaghata,""Balaghata Bandarban"",""Balaghata, Bandarban""}",22.195340,92.219460,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:20.129732+00"
"df55c5df-cd8b-4b6d-9a42-74cbf25e980b","Bandarban","Bandarban Bus Station","{""Bandarban Bus Station"",""Bandarban Bus Station Bandarban"",""Bandarban Bus Station, Bandarban""}",22.188414,92.214036,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:21.265877+00"
"3f4b7e16-973d-40dc-bebb-54cac5fd90c6","Bandarban","Bandarban Sadar","{""Bandarban Sadar"",""Bandarban Sadar Bandarban"",""Bandarban Sadar, Bandarban""}",22.189482,92.226562,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:22.330987+00"
"385af501-5481-4ac1-b9b7-20348aa8258c","Bandarban","Meghla Tourist Complex","{""Meghla Tourist Complex"",""Meghla Tourist Complex Bandarban"",""Meghla Tourist Complex, Bandarban""}",22.181700,92.189200,"manual_coordinate","t","2026-06-11 03:53:38.626404+00","2026-06-11 04:05:52.939934+00"
"f1299bcd-1d87-4db3-8e78-fac21187dedb","Bandarban","Nilachal","{Nilachal,""Nilachal Bandarban"",""Nilachal, Bandarban""}",23.011340,91.401300,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:24.561488+00"
"1b2c90f7-49bb-488f-a4a7-5a1292409d06","Barguna","Barguna Bus Stand","{""Barguna Bus Stand"",""Barguna Bus Stand Barguna"",""Barguna Bus Stand, Barguna""}",22.156720,90.117580,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:25.787478+00"
"1714ae39-4909-4626-82bd-d060fce9a783","Barguna","Barguna General Hospital","{""Barguna General Hospital"",""Barguna General Hospital Barguna"",""Barguna General Hospital, Barguna""}",22.156377,90.127931,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:27.028182+00"
"3071628a-ff07-46fb-8ded-1f02886fc24b","Barguna","Barguna Govt College","{""Barguna Govt College"",""Barguna Govt College Barguna"",""Barguna Govt College, Barguna""}",22.156777,90.113826,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:28.143429+00"
"4410d9c7-c598-45b3-be2b-dcbf6e130d6e","Barguna","Barguna Launch Ghat","{""Barguna Launch Ghat"",""Barguna Launch Ghat Barguna"",""Barguna Launch Ghat, Barguna""}",22.160263,90.116997,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:29.344339+00"
"a5c2dfa8-15f7-4afa-8d78-0677d8f177f7","Barguna","Barguna Sadar","{""Barguna Sadar"",""Barguna Sadar Barguna"",""Barguna Sadar, Barguna""}",22.156720,90.117580,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:30.499013+00"
"4dc5a534-4d19-4a52-9bad-d98e9d658287","Barishal","Barishal Launch Ghat","{""Barishal Launch Ghat"",""Barishal Launch Ghat Barishal"",""Barishal Launch Ghat, Barishal""}",22.704970,90.370130,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:31.627735+00"
"28c0f8ae-ca2f-4006-97bd-35b6731b5124","Barishal","Barishal Sadar Road","{""Barishal Sadar Road"",""Barishal Sadar Road Barishal"",""Barishal Sadar Road, Barishal""}",22.704970,90.370130,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:32.757274+00"
"332a80e6-9bf1-4df4-a2f4-23af4053e31d","Barishal","Chowmatha","{Chowmatha,""Chowmatha Barishal"",""Chowmatha, Barishal""}",22.704970,90.370130,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:33.873919+00"
"5c76c993-120e-4cf9-a937-655db56c6938","Barishal","Nathullabad Bus Terminal","{""Nathullabad Bus Terminal"",""Nathullabad Bus Terminal Barishal"",""Nathullabad Bus Terminal, Barishal""}",22.656348,90.662246,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:35.008818+00"
"f74e74fe-1462-4114-8786-90fb9929bfa6","Barishal","Port Road Barishal","{""Port Road Barishal"",""Port Road Barishal Barishal"",""Port Road Barishal, Barishal""}",22.704970,90.370130,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:36.134832+00"
"d5e63653-cef5-4817-8c34-a276786beac4","Bhola","Bhola Bus Stand","{""Bhola Bus Stand"",""Bhola Bus Stand Bhola"",""Bhola Bus Stand, Bhola""}",22.687590,90.644030,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:37.362677+00"
"adfcd419-e65b-476e-aa74-e135484e0edf","Bhola","Bhola Govt College","{""Bhola Govt College"",""Bhola Govt College Bhola"",""Bhola Govt College, Bhola""}",22.671210,90.655989,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:38.588062+00"
"944deba5-a16e-4df2-a633-780d41a30af8","Bhola","Bhola Launch Terminal","{""Bhola Launch Terminal"",""Bhola Launch Terminal Bhola"",""Bhola Launch Terminal, Bhola""}",22.678577,90.606713,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:39.818299+00"
"c7cdf5c5-4349-479b-97a8-3a16f0c80e6f","Bhola","Bhola Sadar","{""Bhola Sadar"",""Bhola Sadar Bhola"",""Bhola Sadar, Bhola""}",22.687944,90.645452,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:40.941843+00"
"54a7b56f-4bb9-4004-bc26-04f72e3c53f1","Bhola","Bhola Sadar Hospital","{""Bhola Sadar Hospital"",""Bhola Sadar Hospital Bhola"",""Bhola Sadar Hospital, Bhola""}",22.687944,90.645452,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:42.083181+00"
"68a91968-55a2-4423-b2b5-532d26cff350","Bogura","Bogra Cantonment","{""Bogra Cantonment"",""Bogra Cantonment Bogura"",""Bogra Cantonment, Bogura""}",24.850980,89.371080,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:43.196873+00"
"5c822fa7-ba7e-4c51-aff1-6be59e264c94","Bogura","Bogura Railway Station","{""Bogura Railway Station"",""Bogura Railway Station Bogura"",""Bogura Railway Station, Bogura""}",24.847986,89.367178,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:44.330244+00"
"477e2d0d-03de-4759-936b-466e3475530b","Bogura","Bogura Shaheed Ziaur Rahman Medical College","{""Bogura Shaheed Ziaur Rahman Medical College"",""Bogura Shaheed Ziaur Rahman Medical College Bogura"",""Bogura Shaheed Ziaur Rahman Medical College, Bogura""}",24.826720,89.352670,"manual_coordinate","t","2026-06-11 03:53:38.626404+00","2026-06-11 04:07:06.0363+00"
"2740f055-f599-4414-ac4e-a6fca09fa797","Bogura","Satmatha","{Satmatha,""Satmatha Bogura"",""Satmatha, Bogura""}",25.733988,89.286492,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:46.679272+00"
"c648bc25-eaaf-4abe-a48d-457982e971a8","Bogura","Sherpur Road Bogura","{""Sherpur Road Bogura"",""Sherpur Road Bogura Bogura"",""Sherpur Road Bogura, Bogura""}",24.850980,89.371080,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:47.804347+00"
"a9ba036a-a624-4adc-b121-8e89bd8240fa","Brahmanbaria","Brahmanbaria Bus Terminal","{""Brahmanbaria Bus Terminal"",""Brahmanbaria Bus Terminal Brahmanbaria"",""Brahmanbaria Bus Terminal, Brahmanbaria""}",23.952855,91.116351,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:49.033142+00"
"8e5d6dd1-98f9-4b40-9d73-1b7ce29c494a","Brahmanbaria","Brahmanbaria Medical College","{""Brahmanbaria Medical College"",""Brahmanbaria Medical College Brahmanbaria"",""Brahmanbaria Medical College, Brahmanbaria""}",24.001991,91.110799,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:50.262105+00"
"b261c732-e91e-4246-8caa-ce174732b5f3","Brahmanbaria","Brahmanbaria Railway Station","{""Brahmanbaria Railway Station"",""Brahmanbaria Railway Station Brahmanbaria"",""Brahmanbaria Railway Station, Brahmanbaria""}",23.952855,91.116351,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:51.493707+00"
"b4464dfa-912d-4e40-af9f-edaaa0748f47","Brahmanbaria","Brahmanbaria Sadar","{""Brahmanbaria Sadar"",""Brahmanbaria Sadar Brahmanbaria"",""Brahmanbaria Sadar, Brahmanbaria""}",23.974640,91.112280,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:52.673587+00"
"d90d5b55-56a8-46ce-ac95-beb01c31cc72","Brahmanbaria","T.A. Road Brahmanbaria","{""T.A. Road Brahmanbaria"",""T.A. Road Brahmanbaria Brahmanbaria"",""T.A. Road Brahmanbaria, Brahmanbaria""}",23.974640,91.112280,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:53.845061+00"
"1f2b2cdd-09fa-468c-9673-38fdc0ec9fa6","Chandpur","Chandpur Bus Stand","{""Chandpur Bus Stand"",""Chandpur Bus Stand Chandpur"",""Chandpur Bus Stand, Chandpur""}",23.265305,90.753564,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:55.073862+00"
"3ff997e6-0a30-455d-bea1-e8b231c63200","Chandpur","Chandpur Govt College","{""Chandpur Govt College"",""Chandpur Govt College Chandpur"",""Chandpur Govt College, Chandpur""}",23.228984,90.659801,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:56.304055+00"
"40e51ecb-5eab-4a45-a09c-9732cbeb9576","Chandpur","Chandpur Launch Terminal","{""Chandpur Launch Terminal"",""Chandpur Launch Terminal Chandpur"",""Chandpur Launch Terminal, Chandpur""}",23.235623,90.664701,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:57.438278+00"
"2944869d-6218-4ffb-a1d2-db93c34699fb","Chandpur","Chandpur Railway Station","{""Chandpur Railway Station"",""Chandpur Railway Station Chandpur"",""Chandpur Railway Station, Chandpur""}",22.680101,91.632610,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:58.671896+00"
"55f00f28-41f4-48ea-9143-e99b7cf924c4","Chandpur","Chandpur Sadar","{""Chandpur Sadar"",""Chandpur Sadar Chandpur"",""Chandpur Sadar, Chandpur""}",23.265305,90.753564,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:58:59.788947+00"
"858a327f-5523-4b5d-aff3-5a59f262aa13","Chapai Nawabganj","Baroghoria","{Baroghoria,""Baroghoria Chapai Nawabganj"",""Baroghoria, Chapai Nawabganj""}",24.602554,88.251753,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:59:01.014131+00"
"820e5c09-029d-4145-ac02-f37e6354cfd5","Chapai Nawabganj","Chapai Nawabganj Bus Terminal","{""Chapai Nawabganj Bus Terminal"",""Chapai Nawabganj Bus Terminal Chapai Nawabganj"",""Chapai Nawabganj Bus Terminal, Chapai Nawabganj""}",24.588301,88.285887,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:59:02.141032+00"
"bcf87fd8-b3de-411e-9999-2114daa20f78","Chapai Nawabganj","Chapai Nawabganj Railway Station","{""Chapai Nawabganj Railway Station"",""Chapai Nawabganj Railway Station Chapai Nawabganj"",""Chapai Nawabganj Railway Station, Chapai Nawabganj""}",24.588301,88.285887,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:59:03.277142+00"
"9569e9e8-7c10-4f70-85f2-f1258b46df6f","Chapai Nawabganj","Chapai Nawabganj Sadar","{""Chapai Nawabganj Sadar"",""Chapai Nawabganj Sadar Chapai Nawabganj"",""Chapai Nawabganj Sadar, Chapai Nawabganj""}",24.598950,88.283390,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:59:04.39263+00"
"7b75e39f-908b-4aa5-8475-169536819a33","Chapai Nawabganj","Nawabganj Govt College","{""Nawabganj Govt College"",""Nawabganj Govt College Chapai Nawabganj"",""Nawabganj Govt College, Chapai Nawabganj""}",23.664049,90.158367,"ors_geocoding","t","2026-06-11 03:53:38.626404+00","2026-06-11 03:59:05.525337+00"
"c522d455-71fe-4cf7-8917-b5aae5be7843","Chattogram","2 No Gate","{""2 No Gate"",""No. 2 Gate"",""2 Number Gate"",""Number 2 Gate""}",22.362600,91.823900,"manual_seed","t","2026-06-11 03:54:13.362297+00","2026-06-11 03:54:13.362297+00"
"ec1555ff-f693-4ba1-9e95-27799b2c9f25","Chattogram","Agrabad","{Agrabad,""Agrabad Commercial Area""}",22.325100,91.812300,"manual_seed","t","2026-06-11 03:54:13.362297+00","2026-06-11 03:54:13.362297+00"
"7c1102c7-fb38-4519-8346-5beac751c46c","Chattogram","Akbar Shah","{""Akbar Shah"",Akbarshah}",22.380200,91.775800,"manual_seed","t","2026-06-11 03:54:13.362297+00","2026-06-11 03:54:13.362297+00"
